Category of Data,Table,Column,ct_name,code_iaids,meaning,Data Type eADMS,Length eADMS,short_desc,Question_Def,Code meaning,typeofchange,Change_notes
eADMS Data,aircraft,acft_category,ct_acft_cat,AIR,Airplane,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,BALL,Balloon,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,BLIM,Blimp,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,GLI,Glider,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,GYRO,Gyrocraft,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,HELI,Helicopter,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,PLFT,Powered-Lift,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,ULTR,Ultralight,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,UNK,Unknown,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,NULL,Powered parachute,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_category,ct_acft_cat,NULL,Weight shift,char,4,Aircraft Category,"The category of the involved aircraft. In this case, the definition of aircraft category is the same as that used with respect to the certification, ratings, privileges, and limitations of airmen. Also note that there is some overlap of category and class in the available choices.",NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,BOTH,Ground and In-flight,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,GRD,Ground,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,IFLT,In-flight,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,NONE,None,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,UNK,Unknown,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_expl,ct_expl_fire,UORG,Unknown Origin,char,4,Aircraft Explosion,Indicate the occurrence of an aircraft explosion.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,BOTH,Ground and In-flight,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,GRD,Ground,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,IFLT,In-flight,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,NONE,None,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,UNK,Unknown,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_fire,ct_expl_fire,UORG,Unknown Origin,char,4,Aircraft Fire,Indicate the occurrence of an aircraft fire.,NULL,NULL,NULL
eADMS Data,aircraft,acft_make,NULL,NULL,NULL,varchar,30,Aircraft Manufacturer's Full Name,"Name of the manufacturer of the involved aircraft. If the involved aircraft is certified as ""amateur-built,"" include the name of manufacturer of the kit or plans when appropriate.",NULL,NULL,NULL
eADMS Data,aircraft,acft_missing,NULL,N,No,char,1,Missing Aircraft Indicator,Indicate whether an aircraft is classified and missing.,NULL,NULL,NULL
eADMS Data,aircraft,acft_missing,NULL,Y,Yes,char,1,Missing Aircraft Indicator,Indicate whether an aircraft is classified and missing.,NULL,NULL,NULL
eADMS Data,aircraft,acft_model,NULL,NULL,NULL,varchar,20,Aircraft Model,"The full alphanumeric aircraft model code, including any applicable series or derivative identifiers. For example, a 200 series Boeing 737 is entered as 737-200.",NULL,NULL,NULL
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,FNFN,Foreign Reg./Foreign Soil,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,Includes mishaps outside the U.S. involving aircraft registered outside the U.S. These records are included in the accident database if the Board was asked by the involved country to participate in the investigation.,FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,FNUS,Foreign Registered/U.S. Soil,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,Includes mishaps involving foreign aircraft that were operating in the U.S. at the time of the incident.,FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,flt_plan_filed,ct_flt_plan_filed,VTP,VFR on top,char,4,Type of Flight Plan filed,"The type of ATC flight plan filed for the accident flight. This includes plans filed before departure, plans filed enroute, company flight plans, and scheduled routing plans.",NULL,NULL,NULL
eADMS Data,aircraft,homebuilt,NULL,N,No,char,3,Aircraft is a homebuilt (Y/N).,"Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,MIL,Military,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,"Includes all U.S. military operations. The Board typically does not investigate mishaps involving military aircraft unless 1 or more civilian aircraft were also involved (i.e., a midair collision between a civil and military aircraft)",FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,NREG,Not Registered,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,"Unregistered aircraft. Includes vehicles that do not require registration (i.e., ultralights), as well as aircraft not properly registered.",FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,UNK,Unknown,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,Registration type/status not known,FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,USFN,U.S. Registered/Foreign Soil,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,Includes U.S. registered aircraft operating outside the U.S.,FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,USFO,U.S. Registered/Foreign Oper.,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,"Includes aircraft registered in the U.S. but flown by foreign operators. This may include foreign air carriers providing international service from the U.S., as well as individual or corporate owners that maintain a U.S. registration.",FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_reg_cls,ct_acft_reg_cls,USUS,U.S. Registered/U.S. Soil,char,4,Aircraft Registration Class,Aircraft registration class codes include both the foreign/domestic registration type and the foreign/domestic location of operation at the time of the accident.,Includes U.S. registered aircraft operating within the U.S. or its territories. Most records in the database  are included in this category.,FieldNoLongerPopulated,"Discontinued - With the implementation of eADMS in 2006, this field/variable will no longer be used. However, the data in this field pertaining to previously coded accidents will be retained."
eADMS Data,aircraft,acft_serial_no,NULL,NULL,NULL,varchar,20,Aircraft Serial Number,"The full aircraft serial number, as assigned by the manufacturer or certificator.",NULL,NULL,NULL
eADMS Data,aircraft,acft_series,NULL,NULL,NULL,varchar,10,Aircraft Series Identifier,"This refers to derivative versions of the same model. For example, the Boeing 737-200 and 737-400 series. This variable is not consistently populated throughout the database.",NULL,NULL,NULL
eADMS Data,aircraft,afm_hrs,NULL,NULL,NULL,real,NULL,Airframe  Hours,The total number of operating hours on the aircraft airframe. You must also indicate whether the entered time was measured at the last inspection or at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,afm_hrs_last_insp,NULL,NULL,NULL,real,NULL,Airframe hours since last inspection,The total number of operating hours accumulated on the aircraft airframe since the last inspection.,NULL,NULL,NULL
eADMS Data,aircraft,afm_hrs_since,ct_afm_hrs_since,ACCI,Time of Accident,char,4,Since inspection or accident,Indicate whether the time entered for total airframe hours was measured at the last inspection or at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,afm_hrs_since,ct_afm_hrs_since,INSP,Last Inspection,char,4,Since inspection or accident,Indicate whether the time entered for total airframe hours was measured at the last inspection or at the time of the accident.,NULL,NULL,NULL
eADMS Data,aircraft,air_medical,NULL,N,No,char,1,Air Medical Flight,"Indicate whether the accident aircraft was operating as an Air Medical Flight at the time of the accident. An ""Air Medical Flight"" is defined as an operation for the purpose of carrying medical personnel, patients, or organs.",NULL,NULL,NULL
eADMS Data,aircraft,air_medical,NULL,Y,Yes,char,1,Air Medical Flight,"Indicate whether the accident aircraft was operating as an Air Medical Flight at the time of the accident. An ""Air Medical Flight"" is defined as an operation for the purpose of carrying medical personnel, patients, or organs.",NULL,NULL,NULL
eADMS Data,aircraft,Aircraft_Key,NULL,NULL,NULL,int,NULL,ID's unique aircraft in collisions,"The aircraft key variable is used to distinguish between individual aircraft in the event of an occurrence involving more than one aircraft. For example. if two aircraft collide, they will be assigned Ids of 1 and 2.",NULL,NULL,NULL
eADMS Data,aircraft,homebuilt,NULL,U,Unknown,char,3,Aircraft is a homebuilt (Y/N).,"Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,homebuilt,NULL,Y,Yes,char,3,Aircraft is a homebuilt (Y/N).,"Indicate whether the involved aircraft was certified with a Special Airworthiness Certificate (FAA Form 8130-7), in the experimental category as an amateur-built aircraft.",NULL,NULL,NULL
eADMS Data,aircraft,cc_seats,ct_cc_seats,NULL,Cabin Crew Seats,int,NULL,Cabin Crew Seats,Refers to the number of aircraft seats by type.,NULL,FieldNew,New - With the implementation of eADMS in 2006 this field/variable will be added to provide additional detail. Previously coded accidents will not be recoded to reflect this change.
eADMS Data,aircraft,cert_max_gr_wt,NULL,NULL,NULL,int,NULL,Certified Max Gross Weight,"The actual certificated max gross weight for the aircraft involved in the occurrence. This should be the same as the maximum gross weight indicated on the aircraft weight and balance. Maximum gross weight includes the weight of the aircraft, all installed equipment, fuel, passengers, cargo, and baggage.",NULL,NULL,NULL
eADMS Data,aircraft,certs_held,NULL,N,None,char,1,Owner has at least one certificate,"Indicate whether the operator holds a commercial operating certificate, an air taxi operating certificate, or an air carrier operating certificate",NULL,NULL,NULL
eADMS Data,aircraft,certs_held,NULL,Y,Yes - certificate holder,char,1,Owner has at least one certificate,"Indicate whether the operator holds a commercial operating certificate, an air taxi operating certificate, or an air carrier operating certificate.",NULL,NULL,NULL
eADMS Data,aircraft,damage,ct_damage,DEST,Destroyed,char,4,Damage,"Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",NULL,NULL,NULL
eADMS Data,aircraft,damage,ct_damage,MINR,Minor,char,4,Damage,"Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",NULL,NULL,NULL
eADMS Data,aircraft,damage,ct_damage,NONE,None,char,4,Damage,"Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",NULL,NULL,NULL
eADMS Data,aircraft,damage,ct_damage,SUBS,Substantial,char,4,Damage,"Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",NULL,NULL,NULL
eADMS Data,aircraft,damage,ct_damage,UNK,Unknown,char,4,Damage,"Indicate the severity of damage to the accident aircraft. For the purposes of this variable, aircraft damage categories are defined in 49 CFR 830.2.",NULL,NULL,NULL
eADMS Data,aircraft,date_last_insp,NULL,NULL,NULL,datetime,NULL,Date of Last Inspection,The calendar date of the most recent aircraft inspection in the format MM/DD/YYYY.,NULL,NULL,NULL
