ct_name,code_iaids,meaning,seq,ntsb_type,ntsb_code,avn_code,ntsb_codes_more,not_for_ntsb_use,eADMS_use,notes
,FOIA,FOIA,4,,,,,FALSE,TRUE,Special Handling
ct_acft_awy_cert,LTSP,Special Light-Sport,12,N,12,,,FALSE,TRUE,
ct_acft_awy_cert,OTH,Other,40,N,,,,FALSE,TRUE,
ct_acft_awy_cert,SPE,Experimental,11,N,11,,,FALSE,TRUE,
ct_acft_awy_cert,SPL,Limited,8,N,08,,,FALSE,TRUE,
ct_acft_awy_cert,SPR,Restricted,7,N,07,,,FALSE,TRUE,
ct_acft_awy_cert,SPS,Special Flight,10,N,10,,,FALSE,TRUE,
ct_acft_awy_cert,SPV,Provisional,9,N,09,,,FALSE,TRUE,
ct_acft_awy_cert,SPX,Experimental Light Sport,13,N,13,,,FALSE,TRUE,
ct_acft_awy_cert,STA,Aerobatic,21,N,01,,,FALSE,TRUE,
ct_acft_awy_cert,STB,Balloon,22,N,02,,,FALSE,TRUE,
ct_acft_awy_cert,STC,Commuter,23,N,03,,,FALSE,TRUE,
ct_acft_awy_cert,STN,Normal,20,N,00,,,FALSE,TRUE,
ct_acft_awy_cert,STT,Transport,24,N,04,,,FALSE,TRUE,
ct_acft_awy_cert,STU,Utility,25,N,05,,,FALSE,TRUE,
ct_acft_awy_cert0,COA,Certificate of Authorization or Waiver (COA),2,N,02,,,FALSE,TRUE,
ct_acft_awy_cert0,NON,None,0,N,00,,,FALSE,TRUE,
ct_acft_awy_cert0,UNK,Unknown,1,N,01,,,FALSE,TRUE,
ct_acft_cat,AIR,Airplane,1,N,01,,,FALSE,TRUE,
ct_acft_cat,BALL,Balloon,4,N,04,,,FALSE,TRUE,
ct_acft_cat,BLIM,Blimp,5,N,05,,,FALSE,TRUE,
ct_acft_cat,GLI,Glider,3,N,03,,,FALSE,TRUE,
ct_acft_cat,GYRO,Gyroplane,7,N,07,,,FALSE,TRUE,
ct_acft_cat,HELI,Helicopter,2,N,02,,,FALSE,TRUE,
ct_acft_cat,PLFT,Powered-Lift,10,N,10,,,FALSE,TRUE,
ct_acft_cat,PPAR,Powered Parachute,8,N,08,,,FALSE,TRUE,
ct_acft_cat,RCKT,Rocket,11,N,11,,,FALSE,TRUE,
ct_acft_cat,ULTR,Ultralight,6,N,06,,,FALSE,TRUE,
ct_acft_cat,UNK,Unknown,0,N,00,,,FALSE,TRUE,
ct_acft_cat,WSFT,Weight-Shift,9,N,09,,,FALSE,TRUE,
ct_acft_expl,BOTH,Both,4,N,,,,FALSE,TRUE,
ct_acft_expl,GRD,On-Ground,3,N,,,,FALSE,TRUE,
ct_acft_expl,IFLT,In-Flight,2,N,,,,FALSE,TRUE,
ct_acft_expl,NONE,None,1,N,,,,FALSE,TRUE,
ct_acft_expl,UNK,Unknown,0,N,,,,FALSE,TRUE,
ct_acft_expl,UNKT,Explosion At Unknown Time,5,N,,,,FALSE,TRUE,
ct_acft_fire,BOTH,Both,4,N,,,,FALSE,TRUE,
ct_acft_fire,GRD,On-Ground,3,N,,,,FALSE,TRUE,
ct_acft_fire,IFLT,In-Flight,2,N,,,,FALSE,TRUE,
ct_acft_fire,NONE,None,1,N,,,,FALSE,TRUE,
ct_acft_fire,UNK,Unknown,0,N,,,,FALSE,TRUE,
ct_acft_fire,UNKT,Fire At Unknown Time,5,N,,,,FALSE,TRUE,
ct_acft_reg_cls     ,FNFN,Foreign Reg./Foreign Soil,,,, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,FNUS,Foreign Registered/U.S. Soil,4,N,04, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,MIL,Military,5,N,05, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,NREG,Not Registered,6,N,06, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,UNK,Unknown,0,N,00, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,USFN,U.S. Registered/Foreign Soil,2,N,02, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,USFO,U.S. Registered/Foreign Oper.,3,N,03, ,,FALSE,FALSE,Keep for archived data
ct_acft_reg_cls     ,USUS,U.S. Registered/U.S. Soil,1,N,01, ,,FALSE,FALSE,Keep for archived data
ct_addtl_equip,ADSB,ADS-B,13,N,,,,FALSE,TRUE,
ct_addtl_equip,AFPC,Airframe Parachute,4,N,,,,FALSE,TRUE,
ct_addtl_equip,AOAI,Angle of Attack Indicator,3,N,,,,FALSE,TRUE,
ct_addtl_equip,AUTO,Auto-pilot,5,N,,,,FALSE,TRUE,
ct_addtl_equip,DREC,Data Recorder,6,N,,,,FALSE,TRUE,
ct_addtl_equip,EFB,Electronic Flight Bag or Handheld Device,14,N,,,,FALSE,TRUE,
ct_addtl_equip,EMFD,Electronic Multifunction Display,7,N,,,,FALSE,TRUE,
ct_addtl_equip,EPFD,Electronic Primary Flight Display,8,N,,,,FALSE,TRUE,
ct_addtl_equip,HGPS,Handheld GPS,9,N,,,,FALSE,TRUE,
ct_addtl_equip,HUPD,Heads Up Display,10,N,,,,FALSE,TRUE,
ct_addtl_equip,OBWX,Onboard Weather,11,N,,,,FALSE,TRUE,
ct_addtl_equip,SATD,Satellite Tracking Device,12,N,,,,FALSE,TRUE,
ct_addtl_equip,STWS,Stall Warning System,2,N,,,,FALSE,TRUE,
ct_addtl_equip,VRD,Video Recording Device,15,N,,,,FALSE,TRUE,
ct_addtl_equip0,NONE,None,0,,,,,FALSE,TRUE,
ct_addtl_equip0,UNK,Unknown,1,,,,,FALSE,TRUE,
ct_afm_hrs_since    ,ACCI,Time of Accident,0,N,0 ,0,,FALSE,TRUE,
ct_afm_hrs_since    ,INSP,Last Inspection,0,N,0 ,0,,FALSE,TRUE,
ct_air_med,DISC,Discretionary,,,,,,FALSE,TRUE,
ct_air_med,MEDE,Medical Emergency,,,,,,FALSE,TRUE,
ct_air_med,ORGT,Organ Transport,,,,,,FALSE,TRUE,
ct_aircar_cert,136,Commercial Air Tour (136),7,N,,,,FALSE,TRUE,
