ev_id,Aircraft_Key,Occurrence_No,Occurrence_Code,Occurrence_Description,phase_no,eventsoe_no,Defining_ev,lchg_date,lchg_userid
20001208X08803,1,1,100900 ,Prior to flight - Miscellaneous/other,100,900,FALSE,9/5/2019 8:09,hopj
20001208X08803,1,2,400402 ,Enroute - Loss of visual reference,400,402,FALSE,9/5/2019 8:09,hopj
20001208X08803,1,3,400240 ,Enroute - Loss of control in flight,400,240,TRUE,9/5/2019 8:09,hopj
20001212X19469,1,1,550900 ,Landing - Miscellaneous/other,550,900,TRUE,6/25/2015 14:54,sedj
20010304X00536,1,1,400350 ,Enroute - Security/criminal event,400,350,TRUE,6/25/2015 15:51,sedj
20010304X00536,2,1,400350 ,Enroute - Security/criminal event,400,350,TRUE,6/25/2015 15:51,sedj
20060606X00685,1,1,450120 ,Maneuvering - Controlled flight into terr/obj (CFIT),450,120,TRUE,2/27/2020 15:59,broda
20061220X01815,1,1,400120 ,Enroute - Controlled flight into terr/obj (CFIT),400,120,TRUE,2/27/2020 16:01,broda
20070720X00969,1,1,350120 ,Initial climb - Controlled flight into terr/obj (CFIT),350,120,TRUE,2/27/2020 16:02,broda
20071213X01937,1,1,400120 ,Enroute - Controlled flight into terr/obj (CFIT),400,120,TRUE,2/27/2020 16:03,broda
20081003X62310,1,1,300000 ,Takeoff - Unknown or undetermined,300,000,TRUE,7/2/2018 16:45,broda
20081003X62956,1,1,400000 ,Enroute - Unknown or undetermined,400,000,TRUE,6/23/2015 11:31,sedj
20081003X62957,1,1,400000 ,Enroute - Unknown or undetermined,400,000,TRUE,6/23/2015 11:34,sedj
20170710X10920,1,1,990000 ,Unknown - Unknown or undetermined,990,000,FALSE,9/19/2017 11:12,broda
20170710X10920,1,2,402120 ,Enroute-cruise - Controlled flight into terr/obj (CFIT),402,120,TRUE,9/19/2017 11:12,broda
20170710X52551,1,1,401330 ,Enroute-climb to cruise - Sys/Comp malf/fail (non-power),401,330,TRUE,9/19/2017 10:57,broda
